_id,Inspections.ClosedDate,inspections.OpenedDate,latitude,longitude,propertyAddress,propertyWard,violations.violationDescription,violations.violationFireCode
161318,2017-01-12T14:19:17,2017-01-12T14:19:17,43.76724,-79.18881,4175 Lawrence Ave E,24,,
161319,2017-11-30T16:38:16,2017-01-26T09:45:44,43.6674,-79.3827,60 Gloucester St,13,2.5.1.2 Maintaining access free of obstructions,2.5.1.2
161320,2017-08-30T12:30:33,2017-01-27T11:31:42,43.76765,-79.28285,1950 Kennedy Rd,21,7.2.5.1 Maintenance of certain fire emergency systems,7.2.5.1
161321,2017-09-11T12:41:47,2017-01-04T09:39:33,43.70278,-79.37451,1460 Bayview Ave,15,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161322,2017-02-28T16:55:01,2017-01-06T10:47:19,43.66924,-79.38164,77 Charles St E,13,6.4.1.2 Testing,6.4.1.2
161323,2017-01-12T15:00:43,2017-01-11T15:44:00,43.72047,-79.2391,17 Brimley Rd,20,,
161324,2017-04-21T11:38:38,2017-01-04T14:01:29,43.69942,-79.51286999999999,1775 Weston Rd,5,,
161325,2017-01-04T13:59:10,2017-01-04T13:59:10,43.62275,-79.48339,2220 Lake Shore Blvd W,3,,
161326,2018-06-22T15:38:12,2017-01-24T15:32:27,43.6421,-79.38154,14 York St,10,6.3.1.4 - Fire alarm maintenance ,6.3.1.4                                                         
161327,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,1.1.2.3 Records to be made available on request,1.1.2.3
161328,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,6.4.2.1 Hose stations,6.4.2.1
161329,2017-01-17T11:36:54,2017-01-12T15:04:01,43.72428,-79.5134,170 Chalkfarm Dr,7,,
161330,2017-01-09T12:57:45,2017-01-09T12:57:45,43.71993,-79.60344,900 Queens Plate Dr,1,,
161331,2017-04-20T00:00:00,2017-01-09T00:00:00,43.77414,-79.34294,110 Parkway Forest Dr,17,2.2.2.1 Damaged fire separations,2.2.2.1
161332,2017-04-20T00:00:00,2017-01-09T00:00:00,43.77414,-79.34294,110 Parkway Forest Dr,17,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161333,2017-01-12T16:44:00,2017-01-12T16:44:00,43.72889,-79.54672,75 Tandridge Cres,1,,
161334,2017-01-12T15:53:58,2017-01-12T13:30:24,43.66788,-79.37278,222 Wellesley St E,13,,
161335,2017-06-20T15:55:11,2017-01-13T11:57:27,43.68217,-79.5107,25 Fontenay Crt,2,2.8.1.2 Instructions in emergency procedures,2.8.1.2
161336,2017-01-23T12:00:43,2017-01-16T17:00:54,43.781729999999996,-79.24736,36 Lee Centre Dr,24,,
161337,2017-04-06T13:00:42,2017-01-18T10:39:37,43.75979,-79.50901999999999,10 Tobermory Dr,7,2.7.3.3 Emergency lighting,2.7.3.3
161338,2017-01-18T15:33:43,2017-01-18T15:33:43,43.65485,-79.38467,111 Elizabeth St,10,,
161339,2017-01-20T00:00:00,2017-01-20T00:00:00,43.648590000000006,-79.36678,15 Scadding Ave,10,,
161340,2017-05-17T14:22:04,2017-01-23T11:16:17,43.72433,-79.51474,160 Chalkfarm Dr,7,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161341,2017-05-17T14:22:04,2017-01-23T11:16:17,43.72433,-79.51474,160 Chalkfarm Dr,7,6.3.3.7 Replacement,6.3.3.7
161342,2017-02-21T14:59:24,2017-02-08T11:49:43,43.75655,-79.48978000000001,3710 Keele St,7,2.2.3.2 Maintenance of closures,2.2.3.2
161343,2017-01-26T16:01:59,2017-01-23T09:00:59,43.64066,-79.39577,25 Capreol Crt,10,,
161344,2017-02-02T17:05:49,2017-01-24T16:56:19,43.79234,-79.23272,90 Burrows Hall Blvd,23,,
161345,2017-07-07T09:00:00,2017-02-16T00:00:00,43.63751,-79.40057,20 Bruyeres Mews,10,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),1.1.2.3./6.2.7.5.
161346,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,2.4.1.3 Waste receptacles,2.4.1.3
161347,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,"6.2.7.1 Inspection, Testing and Maintenance ",6.2.7.1
161348,2018-04-11T12:00:00,2017-03-15T12:00:00,43.63671,-79.40008,600 Fleet St,10,2.7.1.7 Maintenance and lighting for exits,2.7.1.7
161349,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161350,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,2.2.3.1 Damaged closures,2.2.3.1
161351,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,"6.2.7.1 Inspection, Testing and Maintenance ",6.2.7.1
161352,2017-08-30T14:59:40,2017-01-25T00:00:00,43.63698,-79.40607,231 Fort York Blvd,10,2.4.1.3 Waste receptacles,2.4.1.3
161353,2017-03-01T15:11:55,2017-01-24T14:18:48,43.65844,-79.37479,279 Jarvis St,13,2.7.3.2 Exit Signs,2.7.3.2
161354,2017-03-29T08:30:42,2017-01-25T16:11:16,43.69513,-79.44695,633 Northcliffe Blvd,12,2.8.2.1 Measures in a fire safety plan,2.8.2.1
161355,2017-03-21T11:08:21,2017-01-26T15:48:48,43.68142,-79.28313,1080 Kingston Rd,20,,
161356,2017-06-15T14:02:28,2017-01-30T14:29:52,43.72048,-79.34907,1101 Leslie St,16,2.2.3.2 Maintenance of closures,2.2.3.2
161357,2017-02-01T15:24:13,2017-01-30T15:18:36,43.64287,-79.39277,381 Front St W,10,,
161358,2017-01-31T16:20:08,2017-01-31T16:20:08,43.66537,-79.34485,444 Logan Ave,14,,
161359,2018-09-12T16:46:48,2017-02-02T16:23:04,43.65617,-79.39143,200 Elm St,11,2.2.3.1 Damaged closures,2.2.3.1
161360,2018-09-12T16:46:48,2017-02-02T16:23:04,43.65617,-79.39143,200 Elm St,11,9.6.3.6 Exit signs,9.6.3.6
161361,2018-03-07T13:06:40,2017-10-17T08:55:16,43.67002,-79.39771,25 Bedford Rd,11,6.5.1.5 Obstructions,6.5.1.5
161362,2018-06-27T16:46:04,2017-10-04T13:59:59,43.66703,-79.40077,341 Bloor St W,11,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),1.1.2.3./6.5.5.3.
161363,2018-06-27T16:46:04,2017-10-04T13:59:59,43.66703,-79.40077,341 Bloor St W,11,2.7.3.2 Exit Signs,2.7.3.2
161364,2018-06-27T16:46:04,2017-10-04T13:59:59,43.66703,-79.40077,341 Bloor St W,11,6.2.1.2 Maintenance,6.2.1.2
161365,2018-01-03T11:24:37,2017-09-20T16:21:38,43.638690000000004,-79.38915,350 Queens Quay W,10,2.16.2.1 Installation requirements,2.16.2.1
161366,2018-01-03T11:24:37,2017-09-20T16:21:38,43.638690000000004,-79.38915,350 Queens Quay W,10,2.2.2.1 Damaged fire separations,2.2.2.1
161367,2017-04-25T08:32:49,2017-01-30T13:49:02,43.74388,-79.5867,60 Stevenson Rd,1,2.2.3.2.(1) - Maintenance of closures,2.2.3.2.(1)                                      
161368,2017-01-26T15:37:55,2017-01-03T15:49:04,43.81049,-79.22029,480 McLevin Ave,25,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161369,2017-09-19T11:02:53,2017-01-03T10:18:05,43.70495,-79.43997,360 Ridelle Ave,8,,
161370,2017-01-10T15:43:53,2017-01-10T15:00:16,43.826370000000004,-79.27501,160 Alton Towers Crcl,23,,
